"FEATURE","cc_mean","cc_sd","cc_cv","gap_cover","p0_10","p10_20","p20_30","p30_40","p40_50","p50_60","p60_70","p70_80","p80_90","p90_100","H","RC2"
190761,34.8967717717718,12.8487995907959,0.368194504489649,1.18425915147935,3.6036036036036,3.39714714714715,29.0728228228228,31.3438438438438,18.262012012012,13.7762762762763,0.544294294294294,0,0,0,0.806521491244501,0.350079411643853
190771,53.0657172720146,9.90275429161326,0.18661303004446,0,1.99895479487849,0,0.24823621635746,2.31251633133002,16.2921348314607,65.9132479749151,13.1957146590018,0,0.0391951920564411,0,0.52463841764694,0.527685435839464
190775,43.2376543209877,12.5055516537973,0.289228262961692,0.70009476164282,3.76543209876543,0.0617283950617284,6.91358024691358,20.2469135802469,35.9876543209877,32.4691358024691,0.555555555555556,0,0,0,0.718434222897385,0.373053457586965
190781,49.5987478656801,9.16476684525631,0.18477818976551,0,0.654524758110415,0.0142287990893569,1.70745589072282,9.1348890153671,33.8360842344906,47.965281730222,6.57370517928287,0.0426863972680706,0.0711439954467843,0,0.559227152110852,0.501921148111942
190783,53.8713639301875,9.9646842594641,0.184971820508897,0,2.120232708468,0.0129282482223659,0.116354234001293,1.17647058823529,13.6134453781513,66.2572721396251,16.677440206852,0.0129282482223659,0.0129282482223659,0,0.449757043408292,0.59288014682135
190795,43.7815451308252,10.4465247449753,0.238605666240415,0.162403105988458,1.20761727821644,0.170305000774114,5.94519275429633,26.3972751199876,35.4234401610156,29.6640346802911,1.1921350054188,0,0,0,0.701216251645999,0.384715632614274
190815,49.9873524451939,7.91301513376402,0.158300344921045,0,0.365373805508713,0,0.646430578976953,8.71275997751546,32.3777403035413,54.2720629567173,3.6256323777403,0,0,0,0.604321737283429,0.452742834101657
190831,53.2258909853249,7.19988646313767,0.135270379318268,0,0.314465408805031,0.0393081761006289,0.301362683438155,3.35429769392034,18.4224318658281,67.4266247379455,10.1153039832285,0.0131027253668763,0.0131027253668763,0,0.438758203561882,0.604286745398318
191319,32.0305010893246,9.67627413496667,0.302095621544667,0.28068994277153,4.92374727668845,0.522875816993464,22.5708061002179,63.9651416122004,4.880174291939,3.13725490196078,0,0,0,0,0.587970448043794,0.484707262852308
191321,46.319350473613,15.0902205502976,0.325786531892199,0.54356959054793,6.26973387460532,0.04510599909788,2.21019395579612,13.7122237257555,27.0184934596301,42.7604871447903,7.03653585926928,0.94722598105548,0,0,0.712475557303693,0.347763821185523
191323,50.327034061333,11.7120599607639,0.232719058041262,0.488385002750132,2.00294217494625,0.101844517370148,2.35373995699898,9.7883897250198,22.1115763268077,50.5601448455358,12.798461016182,0.203689034740296,0.0792124023990042,0,0.619401609326492,0.451713223609172
191325,53.436106412425,8.34962707292367,0.156254406121592,0.0713470823925547,0.799630939566354,0,0.353682915577426,3.213901276334,17.7149008150085,64.0473627556512,13.8090112255882,0.0307550361371675,0.0307550361371675,0,0.499843879524167,0.539380113462493
